CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,avg_tx_amount,std_tx_amount,days_since_last_tx,tx_q1q2_rate_of_change,tx_q2q3_rate_of_change,avg_ss_duration,std_ss_duration,days_since_last_ss,ss_q1q2_rate_of_change,ss_q2q3_rate_of_change,failed_ratio_spike_q2,failed_ratio_spike_q3,failed_ratio_volatility,Exited
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,8046.1456410256405,13805.916716960963,2,0.09090909090909091,0.3333333333333333,13.35441086741224,10.941777351943802,20,0.375,-0.09090909090909091,0.0,0.0,0.0,1
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,7516.566000000001,7924.1794214153915,26,0.14285714285714285,-0.375,19.534329575391567,15.787722115277479,9,-0.5,0.5714285714285714,0.0,0.09090909090909091,0.0524863881081478,0
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,17923.88223300971,20411.754705090578,1,-0.31353135313531355,0.009615384615384616,31.698493664633013,34.53278173206732,20,-0.3333333333333333,-0.42857142857142855,0.03571428571428571,-0.03571428571428571,0.020619652471058063,1
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,11717.81488372093,17719.224824428526,5,-0.4722222222222222,0.631578947368421,7.631512146780541,3.18063441180248,7,-0.42857142857142855,0.5,0.0,0.0,0.0,0
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,11325.335573770491,19971.411205231463,6,0.05,-0.047619047619047616,23.77811160300853,22.36549228357865,4,0.09090909090909091,-0.4166666666666667,0.0,0.0,0.0,0
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,18244.56336973479,23326.015046795685,2,-0.22093023255813954,-0.0945273631840796,28.554923880391254,29.271890920944784,11,0.0,-0.5806451612903226,0.0,0.0,0.0,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,9591.9131986532,16215.154751251974,1,-0.11403508771929824,-0.18811881188118812,19.629758382386427,16.453191846708105,6,-0.058823529411764705,0.4375,0.0,0.0,0.0,0
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,16974.300833333335,18610.537025646794,2,-0.18633540372670807,0.06870229007633588,23.655487129697082,21.46288723055805,2,0.8421052631578947,-0.4,0.05714285714285714,-0.05714285714285714,0.032991443953692905,1
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,17746.609101123595,21602.31894864174,1,-0.17592592592592593,-0.21348314606741572,31.28028793879893,33.951680208682184,3,0.23333333333333334,-0.24324324324324326,0.02702702702702703,0.008687258687258684,0.018625425532054443,0
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,8266.26875,10460.975824305227,2,0.47368421052631576,-0.10714285714285714,16.967555190176093,15.037895848854413,48,0.14285714285714285,-0.625,0.0,0.0,0.0,0
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,10995.4078700361,16484.93374968835,2,0.023529411764705882,0.20689655172413793,11.041997480552771,9.032676015710605,4,0.08333333333333333,0.6923076923076923,0.0,0.0,0.0,0
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,11674.920857142857,18862.816254352936,3,0.06349206349206349,-0.3283582089552239,6.92540467840347,3.391207539390844,15,-0.2,0.25,0.0,0.0,0.0,0
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,8124.700660550459,14115.798031915883,1,-0.011627906976744186,0.19411764705882353,12.811729012044294,8.08426973143549,3,-0.15384615384615385,-0.09090909090909091,0.09090909090909091,-0.09090909090909091,0.052486388108147805,0
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,8363.39981595092,12630.169850452894,2,0.0,-0.23728813559322035,12.939348737026437,7.654012081573434,2,0.3125,-0.47619047619047616,0.0,0.09090909090909091,0.0524863881081478,0
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,9002.01793814433,14777.771429414852,3,0.21875,-0.3333333333333333,16.80970018319843,13.993623389080096,9,0.2727272727272727,-0.21428571428571427,-0.019480519480519487,-0.07142857142857142,0.04786438179111684,0
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,6763.1123,10172.758488077818,1,0.14285714285714285,0.25,19.278017859755593,17.530450466094035,5,-0.21052631578947367,0.2,-0.05263157894736842,0.05555555555555555,0.03126513632036148,0
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,5816.811666666667,7194.468038777917,15,-0.4,0.3333333333333333,21.19462936685057,16.637794618577246,3,0.0,-0.38461538461538464,0.0,0.0,0.0,1
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,7834.55023489933,14322.008060412702,1,0.04186046511627907,-0.29910714285714285,6.62131343020643,3.3114765182409407,42,-0.6,-0.5,0.0,0.0,0.0,0
