CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,days_since_last_tx,txs_avg_amount,amount_std,avg_cashout_amount,ratio_recent_vs_past_txs,ratio_recent_vs_past_amount,ratio_cashouts,ratio_transfers,inflation_pressure,days_since_last_ss,total_ss_past30d,total_ss_past90d,avg_ss_per_wk,avg_ss_duration_min,std_ss_duration_min,ratio_ss_time_recent_vs_past,ratio_events_sessios,ratio_failed_ss,total_opened_push,Churn
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,4,45092.79000000001,59875.26449055069,87315.86166666668,0.0152674721307886,-1.9242576127679614,-0.8266785731844679,-2.772588722239781,0.11881464386100135,1,1,2,0.4583333333333333,18.230805278987564,14.02673992589091,0.6997029514697549,-1.3862943611198906,-2.4849066497880004,2,1
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,12,86310.25421052631,104733.20362676619,233082.61666666667,-0.058840500022933465,-0.08388187658197206,-1.6094379124341003,-2.995732273553991,0.022009401163602768,42,0,15,1.2380952380952381,22.245788203717833,20.961315922247426,-1.8554290063366063,-1.6863989535702288,-3.295836866004329,8,0
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,241235.4435062893,424602.77074766613,229233.0392879257,0.06713930283762873,0.0008875744412828986,-0.676026139779834,-2.9910337527724367,0.04257908375574599,2,5,22,2.0384615384615383,32.27116315517925,28.065546121558523,-0.29609790828362104,-0.325422400434628,-3.9889840465642745,18,1
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,1,96605.214,156236.92894211944,106436.9695,-0.03593200922606333,1.15787646919887,-1.1451323043030026,-2.243744592971112,0.004382819461973994,17,2,3,0.34782608695652173,9.090539320959785,4.638816729810029,0.4315951501260432,-0.8109302162163288,-2.1972245773362196,0,0
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,1,150660.09390625003,209160.77211882453,200150.00041666665,0.04879016416943204,0.9448555273356924,-0.9555114450274363,-2.5649493574615367,0.03061751690138847,1,8,13,0.9230769230769231,21.02158995649891,14.791833225535628,1.297259375651031,-1.1394342831883648,-3.2188758248682006,1,0
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,263260.72780051146,610057.3501609325,208447.0951794872,-0.052798185566970884,0.050800655914202596,-0.6931471805599453,-2.9755295662364714,0.05036570992751698,1,5,22,2.269230769230769,29.997108998800215,28.770395911342703,-0.5728894234581716,-0.4834266495778762,-4.0943445622221,25,1
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,1,247805.70811594202,1120686.3278357761,278892.5670652174,0.13685918271719735,-0.6420501529667815,-1.0914180130340825,-2.222820124525183,0.09967218722528236,6,7,19,1.6538461538461537,19.61247906930288,19.45270223406004,-0.15356789754582825,-1.2192402764567243,-2.3978952727983707,0,0
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,284499.99042696634,875851.603169455,243838.87369565218,0.16299728396755173,-0.03656527757239658,-0.6579012414982705,-3.009276498661748,0.04787173995813331,3,4,22,1.8461538461538463,32.02104962879833,31.563674973944135,-0.9327955295800767,-0.5245244681241525,-3.891820298110627,16,1
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,1,234655.60684322036,330120.5380285068,232299.77549586777,0.13353139262452257,0.4887302551937078,-0.6660339451513845,-3.0236011725627834,0.03611018522389258,2,13,33,2.3461538461538463,28.613107878915436,27.539318658954535,-0.03534233612664689,-0.3894647667617233,-4.127134385045092,20,0
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,2,122268.39197183099,153313.10552453928,157176.74739130438,-0.07061756721395342,-0.28485098160295946,-1.0986122886681098,-2.4849066497880004,0.040379670973026104,5,5,9,0.6538461538461539,12.660852020757861,11.70491324072232,0.25648531213036246,-1.2809338454620642,-2.890371757896165,3,0
